<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
imaging_file	imaging_type	The type of imaging exam performed.	enum					CT Scan | MRI | Ultrasound | fMRI 							
imaging_file	instrument_manufacturer	The imaging instrument or scanner manufacturer.	string												
imaging_file	instrument_model	The imaging instrument or scanner model.	string												
imaging_file	inversion_time	The time period (TI; milliseconds) between the 180° inversion pulse and the 90° excitation pulse in an inversion recovery pulse sequence. The inversion time controls the signal of different tissues.	number												
imaging_file	magnification	Magnification used to capture the image.	number												
imaging_file	matrix_size	The matrix size is the number of frequency encoding steps, in one direction; and the number of phase encoding steps, in the other direction of the image plane. Assuming everything else is constant, increasing the number of frequency encodings or the number of phase steps results in improved resolution.	string												
imaging_file	modality	Mode instrument was in during image acquisition.	string												
imaging_file	pulse_sequence	"The name of the particular instrument setting of pulse sequences and pulsed field gradients (e.g., ""GRE"" (gradient echo), ""SE"" (spin echo), or ""IR"" (inversion-recovery), etc.)."	string												
imaging_file	repetition_time	The repetition time (TR; milliseconds) is the time from the application of an excitation pulse to the application of the next pulse. It determines how much longitudinal magnetization recovers between each pulse.	number												
imaging_file	scan_id	The identification number for a stack of images generated during a single scan.	string												
imaging_file	study_date			_definitions.yaml#/datetime											
imaging_file	ImageType	The ImageType specified for a DICOM file.	string												
imaging_file	ManufacturerModelName	Manufacturer's model name of the equipment that produced the composite instances. Corresponds to DICOM Tag 0008, 1090 Manufacturers Model Name.	string												
imaging_file	ScanningSequence	Description of the type of data acquired. Corresponds to DICOM Tag 0018, 0020 Scanning Sequence.	string												
imaging_file	SequenceVariant	Variant of the ScanningSequence. Corresponds to DICOM Tag 0018, 0021 Sequence Variant.	string												
imaging_file	ScanOptions	Parameters of ScanningSequence. Corresponds to DICOM Tag 0018, 0022 Scan Options.	string												
imaging_file	MRAcquisitionType	Identification of data encoding scheme. DICOM Tag 0018, 0023.	string												
imaging_file	SequenceName	Manufacturers designation of the sequence name. Corresponds to DICOM Tag 0018, 0024 Sequence Name.	string												
imaging_file	RepetitionTime	The time in seconds between the beginning of an acquisition of one volume and the beginning of acquisition of the volume following it (TR). Please note that this definition includes time between scans (when no data has been acquired) in case of sparse acquisition schemes. This value needs to be consistent with the pixdim[4] field (after accounting for units stored in xyzt_units field) in the NIfTI header. This field is mutually exclusive with VolumeTiming and is derived from DICOM Tag 0018, 0080 and converted to seconds.	number												
imaging_file	EchoTime	Time in ms between the middle of the excitation pulse and the peak of the echo produced (kx=0). In the case of segmented k-space, the TE(eff) is the time between the middle of the excitation pulse to the peak of the echo that is used to cover the center of k-space (i.e.,-kx=0, ky=0). DICOM Tag 0018, 0081.	number												
imaging_file	InversionTime	The inversion time (TI) for the acquisition, specified in seconds. Inversion time is the time after the middle of inverting RF pulse to middle of excitation pulse to detect the amount of longitudinal magnetization. Corresponds to DICOM Tag 0018, 0082 Inversion Time (please note that the DICOM term is in milliseconds not seconds).	number												
imaging_file	NumberOfAverages	Number of times a given pulse sequence is repeated before any parameter is changed. DICOM Tag 0018, 0083.	number												
imaging_file	ImagingFrequency	Imaging Frequency	number												
imaging_file	MagneticFieldStrength	Nominal field strength of MR magnet in Tesla. DICOM Tag 0018, 0087	number												
imaging_file	NumberOfPhaseEncodingSteps	Total number of lines in k-space in the 'y' direction collected during acquisition. DICOM Tag 0018, 0089.	number												
imaging_file	EchoTrainLength	Number of lines in k-space acquired per excitation of the same volume regardless of the type of echo or the number of frames derived from them. DICOM Tag 0018, 0091.	number												
imaging_file	PercentSampling	Fraction of acquisition matrix lines acquired, expressed as a percent. DICOM Tag 0018, 0093	number												
imaging_file	PercentPhaseFieldOfView	Ratio of field of view dimension in phase direction to field of view dimension in frequency direction, expressed as a percent. DICOM Tag 0018, 0094.	number												
imaging_file	PixelBandwidth	Reciprocal of the total sampling period, in hertz per pixel. DICOM Tag 0018, 0095.	number												
imaging_file	AccelerationFactorPE	Acceleration factor in the phase encode direction.	number												
imaging_file	AccelNumReferenceLines	Acceleration number of reference lines.	number												
imaging_file	TotalScanTimeSec	Total time of the scan in seconds.	number												
imaging_file	ReceiveCoilName	Information describing the receiver coil. Corresponds to DICOM Tag 0018, 1250 Receive Coil Name, although not all vendors populate that DICOM Tag, in which case this field can be derived from an appropriate private DICOM field.	string												
imaging_file	DeviceSerialNumber	The device serial number.	string												
imaging_file	SoftwareVersions	Manufacturers designation of software version of the equipment that produced the composite instances. Corresponds to DICOM Tag 0018, 1020 Software Versions.	string												
imaging_file	ProtocolName	Description of the conditions under which the Series was performed. DICOM Tag 0018, 1030.	string												
imaging_file	TransmitCoilName	Name of transmit coil used. DICOM Tag 0018, 1251.	string												
imaging_file	AcquisitionMatrix	Dimensions of the acquired frequency phase data before reconstruction. Multi-valued (frequency, rowsfrequency, columnsphase, rowsphase) columns. DICOM Tag 0018, 1310.	string												
imaging_file	InPlanePhaseEncodingDirection	The axes of the in-plane phase encoding with respect to the frame. DICOM Tag 0018, 1312.	string												
imaging_file	FlipAngle	Flip angle for the acquisition, specified in degrees. DICOM Tag 0018, 1314 Flip Angle.	number												
imaging_file	VariableFlipAngleFlag	Flip angle variation applied during image acquisition. DICOM Tag 0018, 1315.	string												
imaging_file	PatientPosition	Description of imaging subject's position relative to the equipment. DICOM Tag 0018, 5100	string												
imaging_file	PhaseEncodingDirection	Possible values are i, j, k, i-, j-, k-. The letters i, j, k correspond to the first, second and third axis of the data in the NIFTI file. The polarity of the phase encoding is assumed to go from zero index to maximum index unless - sign is present (then the order is reversed - starting from the highest index instead of zero). PhaseEncodingDirection is defined as the direction along which phase is was modulated which may result in visible distortions. Note that this is not the same as the DICOM term InPlanePhaseEncodingDirection which can have ROW or COL values. This parameter is REQUIRED if corresponding fieldmap data is present or when using multiple runs with different phase encoding directions (which can be later used for field inhomogeneity correction).	string												
study	associated_study	The submitter_id or id for any study with which this study is associated, paired, or matched.	string												
study	created_datetime			_definitions.yaml#/datetime											
study	data_description	A brief, free-text description of the data being provided for this study.	string												
study	id			_definitions.yaml#/UUID											
study	longitudinal	Indicates whether the study has longitudinal or time-series data	boolean												
study	project_id			_definitions.yaml#/project_id											
study	state			_definitions.yaml#/state											
study	study_description	A brief, free-text description of the study being performed.	string												
study	study_design	Summary of the goals the study is designed to discover. General description of the study's place in relation to a clinical application.	enum					Analytical | Case-Control Cohort Study | Case-Control Cross-Sectional Study | Case-Control Cross-Sequential Study | Case-Control Longitudinal Study | Case-study | Clinical | Clinical Assay | Clinical Utility | Experimental with Random Assignment | Field Experiment | Meta-analysis | Naturalistic Observation | Observational Cohort Study | Observational Cross-Sectional Study | Observational Longitudinal Study | Observational Study | Pre-Analytical | Research/Early Development | Survey 							
study	study_objective	The general objective of the study. What the study hopes to discover or determine through testing.	enum					Accuracy | Interference | Limit of Detection | Precision (Repeatability) | Precision (Reproducibility) | Specificity/Sensitivity | Stability 							
study	study_setup	A high level description of the setup used to achieve the study objectives.	enum					Detection/Enumeration/Isolation | Genetic Analysis 							
study	submitter_id	A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the UUID for identifying or recalling a node.	string												
study	type	The node_id of this node.	enum					study 							
study	updated_datetime			_definitions.yaml#/datetime											
derived_image	atlas	Atlas used for data output from scans.	string												
derived_image	data_category		string	_terms.yaml#/data_category											
derived_image	data_format		string	_terms.yaml#/data_format											
derived_image	data_type		string	_terms.yaml#/data_type											
derived_image	derivation_method	The name and version of the method, script or workflow used to generate the derived or combined image (also see 'workflow_type').	string												
derived_image	scan_identifier	Identifier given to this scan.	string												
derived_image	workflow_end_datetime	The datetime the workflow ended.	string												
derived_image	workflow_link	A hyperlink or storage location for the workflow used.	string												
derived_image	workflow_start_datetime	The datetime the workflow started.	string												
derived_image	workflow_type		string	_terms.yaml#/workflow_type											
derived_image	workflow_version	The version number of the workflow.	string												
lab_test	abnormal_test_action_taken	Abnormal_Laboratory_Tests_(Form_6003) - Action Taken Following Lab Results	enum					Change In Dosing Schedule | Discontinuation of Experimental Drugs | Observe | Reduction In Dosage 							
lab_test	abnormal_test_exp_meds	Abnormal_Laboratory_Tests_(Form_6003) - Related To Experimental Medication	enum					Definitely Related | Possibly Related | Probably Not Related | Probably Related 							
lab_test	abnormal_test_health_risk	Abnormal_Laboratory_Tests_(Form_6003) - Health Risk	enum					Poses Definite Health Risks | Poses No Health Risks | Poses Possible Health Risks 							
lab_test	abnormal_test_nonexp_meds	Abnormal_Laboratory_Tests_(Form_6003) - Related To Nonexperimental Medication	enum					Definitely Related | Possibly Related | Probably Not Related | Probably Related 							
lab_test	abnormal_test_severity	Abnormal_Laboratory_Tests_(Form_6003) - Severity	enum					Mild | Moderate | Severe 							
lab_test	analyte_name	The analyte, biological molecule or biomarker that was tested.	string												
lab_test	assay_kit_name	Name of the assay kit used.	string												
lab_test	assay_kit_vendor	Vendor that provided the assay kit.	string												
lab_test	assay_kit_version	Version of the assay kit used.	string												
lab_test	blood_test_result_flag	Blood Chemistry And Hematology Test Result Flag	string												
lab_test	chemistry_test_interpretation	Overall Chemistry Interpretation	enum					Clinically Significant Abnormality | Normal | Not Clinically Significant Abnormality 							
lab_test	comments	Specific comments about the laboratory test	string												
lab_test	days_from_collection_to_test	The total number of days between the test and the date the sample was collected. The date of the test less the date of sample collection.	integer												
lab_test	days_to_abnormal_test	Days from the index date to the date of an abnormal laboratory test	integer												
lab_test	days_to_test	The total number of days between the test and the index date. The date of the test less the date of index.	integer												
lab_test	equipment_manufacturer	In the case where measurements are taken using some sort of equpiment, provide the name of the manufacturer.	string												
lab_test	equipment_model	In the case where measurements are taken using some sort of equipment, provide the model and version of the equpiment.	string												
lab_test	hematology_test_interpretation	Overall Hematology Interpretation	enum					Clinically Significant Abnormality | Normal | Not Clinically Significant Abnormality 							
lab_test	high_range	Lab Test High Range	number												
lab_test	lab_result_changed	Result Has Changed From The Value Reported On The 1st Visit (DELTA)	string												
lab_test	low_range	Lab Test Low Range	number												
lab_test	sample_composition	The composition or type of the sample or biological specimen taken from a study subject used for the test	string												
lab_test	sample_composition_other	If 'other' was chosen for 'sample_composition', the type or composition of the sample or biological specimen taken from a study subject used for the test	string												
lab_test	slope	CSF Slope (Unknown Units)	number												
lab_test	somatos_srif	Somatos SRIF	integer												
lab_test	test_code	The code used for a laboratory test	string												
lab_test	test_name	The name of the laboratory test	string												
lab_test	test_out_of_range_alert	Out Of Range Alert	string												
lab_test	test_panel	The name of the laboratory test panel	string												
lab_test	test_project_id	The identifier of a project for the laboratory test	string												
lab_test	test_result	The categorical result of the laboratory test.	string												
lab_test	test_status	Abnormal_Laboratory_Tests_(Form_6003) - Status	enum					Active | Inactive 							
lab_test	test_type	The general type or category of the laboratory test	string												
lab_test	test_units	The units corresponding to a test_value for a test_analyte_type	string												
lab_test	test_units_other	The units corresponding to a test_value for a test_analyte_type if 'Other (specify)' was chosen for 'test_units	string												
lab_test	test_value	The numerical value representing the laboratory test result for the analyte_type	number												
lab_test	text_if_repeated	Text If Repeated	string												
lab_test	urine_test_interpretation	Overall Urine Interpretation	enum					Clinically Significant Abnormality | Normal | Not Clinically Significant Abnormality 							
lab_test	which_visit_being_performed	Blood Chemistry And Hematology Test- Which Visit Being Performed	string												
lab_test	year_of_abnormal_test	Abnormal_Laboratory_Tests_(Form_6003)- Lab Year	integer												
lab_test	year_of_test_form	Abnormal_Laboratory_Tests_(Form_6003)- Year Of Form 6003	integer												
lab_test	year_tests_obtained	Year Laboratory Tests Obtained	integer												
expression_array	data_category		enum	_terms.yaml#/data_category				Expression Array Data 							
expression_array	data_format		enum	_terms.yaml#/data_format				CEL | TSV | TXT 							
expression_array	data_type		enum	_terms.yaml#/data_type				Expression Raw Intensity | Expression Array Variation 							
expression_array	experimental_strategy		enum	_terms.yaml#/experimental_strategy				Expression Array | Expression Array Genotyping 							
expression_array	platform		string	_terms.yaml#/platform											
expression_array	version	The version of the expression array file (e.g., version 3 for a CEL file).	string												
expression_array	workflow_type		enum	_terms.yaml#/workflow_type				Expression Array 							
expression_array	workflow_link	If a specific workflow or pipeline was used to generate the file (aggregation/normalization workflow), provide the name, location or link to the workflow used.	string												
expression_array	workflow_version	Major version for a workflow.	string												
expression_array	workflow_start_datetime			_definitions.yaml#/datetime											
expression_array	workflow_end_datetime			_definitions.yaml#/datetime											
condition	adult_trauma_diagnosis	Diagnosis of adult trauma in the patient.	string												
condition	adult_trauma_scale	Scale used to determine the adult trauma score.	string												
condition	adult_trauma_score	Score given to quantify the patient's level of adult trauma at the time of diagnosis.	string												
condition	age_at_diagnosis	The age of the subject when the primary diagnosis was determined. See age_at_diagnosis_gt89 if the age is over 89 years.	integer			89	0								
condition	age_at_diagnosis_gt89	Indicates whether the age of the subject when the primary diagnosis was determined is greater than 89 years.	enum					No | Yes 							
condition	age_at_onset	The age at which the subject acquired, developed, or first experienced symptoms of the primary disease or disorder. If age is greater than 89 years, see age_at_onset_gt89.	number			89	0								
condition	age_at_onset_gt89	Indicate whether the 'Age at onset (ageonset) in years' is greater than 89 years.	enum					No | Yes 							
condition	childhood_trauma_diagnosis	The determined diagnosis of childhood trauma.	string												
condition	childhood_trauma_scale	The scale used to determine the childhood trauma score.	string												
condition	childhood_trauma_score	Score given to quantify the patient's level of childhood trauma at the time of diagnosis.	string												
condition	comorbidity	List any comorbidities with respect to the primary diagnosis.	string												
condition	days_to_diagnosis	Number of days between the date used for index and the date of the patient's diagnosis.	integer												
condition	depression_diagnosis	The patient's depression diagnosis.	string												
condition	depression_diagnosis_scale	The scale used to diagnose the patient's depression.	string												
condition	depression_severity	The severity of the patient's depression.	string												
condition	diagnostic_code	A code used to describe the patient's diagnosis (e.g., ICD code).	string												
condition	diagnostic_code_type	Text term used to describe the code used to describe the patient's diagnosis (e.g., International Classification of Diseases or ICD).	string												
condition	neurological_disorders	Specify any neurological disorder(s).	string												
condition	organ_system	The classification of organ system affected by the medical condition.	enum					Blood and lymphatic system disorders | Cardiac disorders | Congenital, familial and genetic disorders | Ear and labyrinth disorders | Endocrine disorders | Eye disorders | Gastrointestinal disorders | General disorders and administration site conditions | Hepatobiliary disorders | Immune system disorders | Infections and infestations | Injury, poisoning and procedural complications | Investigations | Metabolism and nutrition disorders | Musculoskeletal and connective tissue disorders | Neoplasms benign, malignant and unspecified (incl cysts and polyps) | Nervous system disorders | Pregnancy, puerperium and perinatal conditions | Psychiatric disorders | Renal and urinary disorders | Reproductive system and breast disorders | Respiratory, thoracic and mediastinal disorders | Skin and subcutaneous tissue disorders | Social Circumstances | Surgical and medical procedures | Vascular disorders 							
condition	pd_diagnosis_category	Parkinson's Disease Category.	enum					Accepted PD By Diagnosis Form | Definitely Not PD By Autopsy | Definitely PD By Autopsy | Definitely PD By Diagnosis Form | Not PD by Diagnosis Form | Undetermined 							
condition	pd_most_affected_side_onset	Side most affected at PD onset	enum					Left | Right | Symmetric 							
condition	pd_primary_diagnosis	Most Likely Primary Diagnosis	enum					Alzheimer's Disease | Dementia With Lewy Bodies | Dopa-Responsive Dystonia | Essential Tremor | Hemiparkinson/Hemiatrophy Syndrome | Idiopathic PD | Motor Neuron Disease With Parkinsonism | Multiple System Atrophy | Neuroleptic-induced Parkinsonism | No PD Nor Other Neurological Disorder | Other Neurological Disorder(s) (Specify) | Prodromal Motor PD | Prodromal Non-motor PD | Progressive Supranuclear Palsy | Psychogenic Illness | Spinocerebellar Ataxia (SCA) | Vascular Parkinsonism 							
condition	pd_probability	Probability that individual has Parkinson's disease (PROBIPD)	enum					0 Pct - 9 Pct | 10 Pct - 49 Pct | 50 Pct - 89 Pct | 90 Pct - 100 Pct 							
condition	persistent_asymmetry_side_onset_most	Persistent asymmetry affecting the side of onset most (DCASYMM).	enum					No | Not Applicable | Yes 							
condition	primary_diagnosis		string	_terms.yaml#/primary_diagnosis											
condition	ptsd_diagnosis_current	The patient's PTSD diagnosis at the time of diagnosis.	string												
condition	ptsd_diagnosis_lifetime	The patient's PTSD diagnosis over the course of their lifetime.	string												
condition	ptsd_diagnosis_scale	The scale used to diagnose the patient with PTSD.	string												
condition	ptsd_severity_current	The patient's PTSD severity at the time of diagnosis.	string												
condition	ptsd_severity_lifetime	The patient's PTSD severity over the course of their lifetime.	string												
condition	ptsd_severity_scale	The scale used to determine the severity of the patient's PTSD.	string												
condition	ptsd_symptom_duration	The number of years the patient has experienced PTSD symptoms.	number												
condition	substance_abuse_scale	The scale used to determine the patient's substance abuse score.	string												
condition	substance_abuse_score	Score given to quantify the patient's substance abuse at the time of diagnosis.	string												
condition	symptom	List any symptoms relevant to listed condition.	string												
condition	tbi_diagnosis	The patient's diagnosis for a traumatic brain injury.	string												
condition	tbi_type	The type of TBI with which the patient has been diagnosed.	string												
condition	total_tbi	The total number of TBIs that the patient has experienced.	integer												
condition	year_of_diagnosis	Year of this diagnosis record.	integer												
read_group	RIN		number	_terms.yaml#/RIN											
read_group	adapter_name		string	_terms.yaml#/adapter_name											
read_group	adapter_sequence		string	_terms.yaml#/adapter_sequence											
read_group	base_caller_name		string	_terms.yaml#/base_caller_name											
read_group	base_caller_version		string	_terms.yaml#/base_caller_version											
read_group	experiment_name		string	_terms.yaml#/experiment_name											
read_group	flow_cell_barcode		string	_terms.yaml#/flow_cell_barcode											
read_group	fragment_maximum_length		integer	_terms.yaml#/fragment_maximum_length											
read_group	fragment_mean_length		number	_terms.yaml#/fragment_mean_length											
read_group	fragment_minimum_length		integer	_terms.yaml#/fragment_minimum_length											
read_group	fragment_standard_deviation_length		number	_terms.yaml#/fragment_standard_deviation_length											
read_group	includes_spike_ins		boolean	_terms.yaml#/includes_spike_ins											
read_group	instrument_model		string												
read_group	is_paired_end		boolean	_terms.yaml#/is_paired_end											
read_group	lane_number		integer	_terms.yaml#/lane_number											
read_group	library_name		string	_terms.yaml#/library_name											
read_group	library_preparation_kit_catalog_number		string	_terms.yaml#/library_preparation_kit_catalog_number											
read_group	library_preparation_kit_name		string	_terms.yaml#/library_preparation_kit_name											
read_group	library_preparation_kit_vendor		string	_terms.yaml#/library_preparation_kit_vendor											
read_group	library_preparation_kit_version		string	_terms.yaml#/library_preparation_kit_version											
read_group	library_selection		string	_terms.yaml#/library_selection											
read_group	library_strand		enum	_terms.yaml#/library_strand				First Stranded | Not Applicable | Second Stranded | Unstranded 							
read_group	library_strategy		string	_terms.yaml#/library_strategy											
read_group	multiplex_barcode		string	_terms.yaml#/multiplex_barcode											
read_group	platform		string	_terms.yaml#/platform											
read_group	read_group_name	Read Group Name	string												
read_group	read_length	Length of the reads	integer												
read_group	sequencing_center		string	_terms.yaml#/sequencing_center											
read_group	sequencing_date			_definitions.yaml#/datetime											
read_group	size_selection_range		string	_terms.yaml#/size_selection_range											
read_group	spike_ins_concentration		string	_terms.yaml#/spike_ins_concentration											
read_group	spike_ins_fasta		string	_terms.yaml#/spike_ins_fasta											
read_group	target_capture_kit		string	_terms.yaml#/target_capture_kit_name											
read_group	to_trim_adapter_sequence		boolean	_terms.yaml#/to_trim_adapter_sequence											
clinical_assessment_file	data_category		string	_terms.yaml#/data_category											
clinical_assessment_file	data_format		enum	_terms.yaml#/data_format				BAM 							
clinical_assessment_file	data_type		enum	_terms.yaml#/data_type				Aligned Reads 							
clinical_assessment_file	age_at_assessment	The age of the subject when the assessment was taken in years. See age_at_assessment_gt89 if the age is over 89 years.	integer			89	0								
clinical_assessment_file	age_at_assessment_gt89	Indicates whether the age of the subject when the assessment was taken is greater than 89 years.	enum					No | Yes 							
clinical_assessment_file	assessment_class	Classification of the clinical assessment.	string												
clinical_assessment_file	assessment_name	The name of the clinical assessment.	string												
clinical_assessment_file	assessment_version	The version of the clinical assessment.	string												
clinical_assessment_file	total_score	The subject's total score on the assessment.	string												
clinical_assessment_file	year_of_assessment	The year the asssessment was taken.	integer												
device	days_to_device_end	The number of days between the subject's index date and the date the subject ended use of the medical device.	string												
device	days_to_device_start	The number of days between the subject's index date and the date the subject was first exposed to the medical device.	string												
device	device_code	A code used to describe the medical device.	string												
device	device_manufacturer	The manufacturer of the medical device.	string												
device	device_model	The model name or version of the medical device.	string												
device	device_name	The name of the medical device.	string												
device	device_type	The general classification of the medical device.	string												
sample	anatomic_site	The term that best describes the primary anatomic site of the collected sample.	string												
sample	anatomic_site_other	If 'Other (specify)' was chosen for 'anatomic_site', enter the anatomic site here.	string												
sample	comments	General comments about the sample or sampling procedure.	string												
sample	composition	The term that best describes the composition of the sample.	string												
sample	composition_other		string												
sample	days_to_collection	The number of days between the subject's Index Event and the date the sample was collected.	integer												
sample	days_to_frozen	The number of days between the subject's Index Event and the date the sample was frozen.	integer												
sample	days_to_shipped	The number of days between the subject's Index Event and the date the sample was shipped.	integer												
sample	device_used	List device(s) used for procuring the sample.	string												
sample	fasting_status	Fasting Status at the time of sample collection	enum					Fasted (Minimum Of 8 Hours) | Low Fat Diet | Not Fasted, No Low Fat Diet 							
sample	laterality	The side of the organ or body the biospecimen was taken from (e.g., 'Left' if 'anatomic_site' was 'Lung' and it was taken from the left lung)	enum					Bilateral | Left | Not Reported | Right | Unknown 							
sample	preservation_method	The text term that describes the method used to preserve the biospecimen after collection.	enum					Cryopreserved | FFPE | Fresh | Frozen | Not Reported | OCT | Snap Frozen | Unknown 							
sample	procured_or_purchased	Was the biospecimen purchased from a vendor or procured from a study participant.	enum					Procured | Purchased 							
sample	procurement_method	The term that best describes the method used to extract the sample from the subject.	string												
sample	procurement_method_other	If 'Other (specify)' was chosen for 'procurement_method', specify the method of sample procurement here.	string												
sample	sample_container	The type of container used for sample collection.	string												
sample	sample_id	In cases where the same biospecimen is used by multiple institutions, a deidenfitied id may be provided here to tie those together. Work with your collaborators assure the same id is used for the sample in all projects.	string												
sample	sample_volume	The initial volume of the sample in milliliters (mL).	number												
sample	sample_weight	The initial mass of the sample in milligrams (mg).	number												
sample	sample_year	The year the sample was obtained.	integer												
sample	storage_temperature	The sample storage temperature (C)	number												
sample	time_point	"Indicate a simple text term that describes the time-point at which the sample was collected (e.g., ""pre-deployment"", ""post-operation"", ""baseline"", etc.). To add more detailed longitudinal information, use the visit_id property to link to a record in the visit node."	string												
supplementary_file	data_category		enum	_terms.yaml#/data_category				Supplementary File 							
supplementary_file	data_description	Provide a brief description of the supplementary file.	string												
supplementary_file	data_format		string	_terms.yaml#/data_format											
supplementary_file	data_type		string	_terms.yaml#/data_type											
unaligned_reads_file	data_category		enum	_terms.yaml#/data_category				Raw Sequencing Data | Sequencing Data | Sequencing Reads 							
unaligned_reads_file	data_format		enum	_terms.yaml#/data_format				BAM | FASTA | FASTQ 							
unaligned_reads_file	data_type		enum	_terms.yaml#/data_type				Unaligned Reads 							
unaligned_reads_file	experimental_strategy		enum	_terms.yaml#/experimental_strategy				ATAC-Seq | Bisulfite-Seq | ChIP-Seq | Low Pass WGS | RNA-Seq | Targeted Sequencing | WGS | WXS | miRNA-Seq 							
